dataset_name	uuid	system	path
TCGA-06-A5U0-01A-11D-A33T-08.wxs.T.hg38	9af26d5b-ed91-4e42-b278-4eb0616926fe	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/9af26d5b-ed91-4e42-b278-4eb0616926fe/C484.TCGA-06-A5U0-01A-11D-A33T-08.1_gdc_realn.bam
TCGA-06-A5U0-10A-01D-A33W-08.wxs.N.hg38	08e280f7-6fea-40c5-a232-252a520522a9	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/08e280f7-6fea-40c5-a232-252a520522a9/C484.TCGA-06-A5U0-10A-01D-A33W-08.1_gdc_realn.bam
TCGA-06-A5U0-10A-01D-A702-36.wgs.N.hg38	93974360-5ccf-4aba-badd-4e5c765f3d8b	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/AWS/WGS/04a96939-24b7-4764-81da-5284029b3ca5_wgs_gdc_realn.bam
TCGA-06-A5U0.WGS.T.hg38	fde249aa-ca7b-4f6a-a21b-aff5419f8e9e	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/AWS/WGS/7b31c5ca-e399-4945-a4bc-f782ca52a5bd_wgs_gdc_realn.bam
TCGA-06-A6S1-01A-11D-A33T-08.wxs.T.hg38	d994ce8b-31ad-4e78-9cdd-a51ef37f3958	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/d994ce8b-31ad-4e78-9cdd-a51ef37f3958/C484.TCGA-06-A6S1-01A-11D-A33T-08.1_gdc_realn.bam
TCGA-06-A6S1-10A-01D-A33W-08.wxs.N.hg38	bb6513c2-2ec9-4009-be7f-0bd0972ea806	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/bb6513c2-2ec9-4009-be7f-0bd0972ea806/C484.TCGA-06-A6S1-10A-01D-A33W-08.1_gdc_realn.bam
TCGA-06-A6S1-10A-01D-A702-36.wgs.N.hg38	eade2438-7d26-4998-b397-331825af1bf9	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/AWS/WGS/237e3757-c320-4103-8468-93e6f20f4c3a_wgs_gdc_realn.bam
TCGA-06-A6S1.WGS.T.hg38	7632163b-ad8e-4b96-869e-0301f9700405	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/AWS/WGS/aae42a0d-c3fe-4b8b-8e81-2818c3244b25_wgs_gdc_realn.bam
TCGA-06-A7TK-01A-21D-A391-08.wxs.T.hg38	f7711993-7260-4a48-a538-b18538212bc0	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/f7711993-7260-4a48-a538-b18538212bc0/C484.TCGA-06-A7TK-01A-21D-A391-08.3_gdc_realn.bam
TCGA-06-A7TK-10A-01D-A394-08.wxs.N.hg38	7eaab3a4-d7be-425f-b538-561f8ec5b72d	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/7eaab3a4-d7be-425f-b538-561f8ec5b72d/C484.TCGA-06-A7TK-10A-01D-A394-08.1_gdc_realn.bam
